[08-Nov-25 00:10:08] Open DHCP Server Version 1.84 Linux Build 1058 Starting...
[08-Nov-25 00:10:10] Starting DHCP Service
[08-Nov-25 00:10:11] Logging: Normal
[08-Nov-25 00:10:11] icon file: /home/tando/Scriptsie/opendhcp/opendhcp.png
[08-Nov-25 00:10:11] exe file: /home/tando/Scriptsie/opendhcp/opendhcpd
[08-Nov-25 00:10:11] ini file: /home/tando/Scriptsie/opendhcp/opendhcp.ini
[08-Nov-25 00:10:11] log file: /home/tando/Scriptsie/opendhcp/log/opendhcp%Y%m%d.log
[08-Nov-25 00:10:11] state file: /home/tando/Scriptsie/opendhcp/opendhcp.state
[08-Nov-25 00:10:11] Default Lease: 36000 (sec)
[08-Nov-25 00:10:11] Server Name: tando-Latitude-5480
[08-Nov-25 00:10:11] Lease Status URL: http://192.168.7.1:6789
[08-Nov-25 00:10:11] Listening On: 192.168.7.1
[08-Nov-25 00:18:45] HTTP Client 192.168.7.1, Message Receive failed
[08-Nov-25 00:18:46] HTTP Client 192.168.7.1, Message Receive failed
[08-Nov-25 00:36:32] HTTP Client 192.168.7.1, Message Receive failed
[08-Nov-25 00:37:32] HTTP Client 192.168.7.1, Message Receive failed
[08-Nov-25 00:38:32] HTTP Client 192.168.7.1, Message Receive failed
[08-Nov-25 00:39:32] HTTP Client 192.168.7.1, Message Receive failed
[08-Nov-25 00:42:32] HTTP Client 192.168.7.1, Message Receive failed
[08-Nov-25 00:43:32] HTTP Client 192.168.7.1, Message Receive failed
[08-Nov-25 00:44:33] HTTP Client 192.168.7.1, Message Receive failed
[08-Nov-25 00:47:33] HTTP Client 192.168.7.1, Message Receive failed
[08-Nov-25 00:48:33] HTTP Client 192.168.7.1, Message Receive failed
[08-Nov-25 00:50:33] HTTP Client 192.168.7.1, Message Receive failed
[08-Nov-25 00:55:34] HTTP Client 192.168.7.1, Message Receive failed
[08-Nov-25 00:57:34] HTTP Client 192.168.7.1, Message Receive failed
[08-Nov-25 00:58:34] HTTP Client 192.168.7.1, Message Receive failed
[08-Nov-25 00:59:34] HTTP Client 192.168.7.1, Message Receive failed
[08-Nov-25 01:03:34] HTTP Client 192.168.7.1, Message Receive failed
[08-Nov-25 01:04:34] HTTP Client 192.168.7.1, Message Receive failed
[08-Nov-25 01:07:35] HTTP Client 192.168.7.1, Message Receive failed
[08-Nov-25 01:08:35] HTTP Client 192.168.7.1, Message Receive failed
[08-Nov-25 01:09:35] HTTP Client 192.168.7.1, Message Receive failed
[08-Nov-25 01:14:35] HTTP Client 192.168.7.1, Message Receive failed
[08-Nov-25 01:15:35] HTTP Client 192.168.7.1, Message Receive failed
[08-Nov-25 01:17:36] HTTP Client 192.168.7.1, Message Receive failed
[08-Nov-25 01:18:36] HTTP Client 192.168.7.1, Message Receive failed
[08-Nov-25 01:20:36] HTTP Client 192.168.7.1, Message Receive failed
[08-Nov-25 01:21:36] HTTP Client 192.168.7.1, Message Receive failed
[08-Nov-25 01:24:36] HTTP Client 192.168.7.1, Message Receive failed
[08-Nov-25 01:25:38] HTTP Client 192.168.7.1, Message Receive failed
[08-Nov-25 01:28:38] HTTP Client 192.168.7.1, Message Receive failed
[08-Nov-25 01:29:09] HTTP Client 192.168.7.1, Message Receive failed
[08-Nov-25 01:30:09] HTTP Client 192.168.7.1, Message Receive failed
[08-Nov-25 01:31:09] HTTP Client 192.168.7.1, Message Receive failed
[08-Nov-25 01:32:09] HTTP Client 192.168.7.1, Message Receive failed
[08-Nov-25 01:36:10] HTTP Client 192.168.7.1, Message Receive failed
[08-Nov-25 01:38:10] HTTP Client 192.168.7.1, Message Receive failed
[08-Nov-25 01:39:10] HTTP Client 192.168.7.1, Message Receive failed
[08-Nov-25 01:41:10] HTTP Client 192.168.7.1, Message Receive failed
[08-Nov-25 01:42:10] HTTP Client 192.168.7.1, Message Receive failed
[08-Nov-25 01:43:10] HTTP Client 192.168.7.1, Message Receive failed
[08-Nov-25 01:44:10] HTTP Client 192.168.7.1, Message Receive failed
[08-Nov-25 01:51:11] HTTP Client 192.168.7.1, Message Receive failed
[08-Nov-25 01:52:11] HTTP Client 192.168.7.1, Message Receive failed
