[15-Nov-25 14:13:00] Open DHCP Server Version 1.84 Linux Build 1058 Starting...
[15-Nov-25 14:13:02] Starting DHCP Service
[15-Nov-25 14:13:03] Logging: Normal
[15-Nov-25 14:13:03] icon file: /home/tando/Scriptsie/opendhcp/opendhcp.png
[15-Nov-25 14:13:03] exe file: /home/tando/Scriptsie/opendhcp/opendhcpd
[15-Nov-25 14:13:03] ini file: /home/tando/Scriptsie/opendhcp/opendhcp.ini
[15-Nov-25 14:13:03] log file: /home/tando/Scriptsie/opendhcp/log/opendhcp%Y%m%d.log
[15-Nov-25 14:13:03] state file: /home/tando/Scriptsie/opendhcp/opendhcp.state
[15-Nov-25 14:13:03] Default Lease: 36000 (sec)
[15-Nov-25 14:13:03] Server Name: tando-Latitude-5480
[15-Nov-25 14:13:03] Lease Status URL: http://192.168.7.1:6789
[15-Nov-25 14:13:03] Listening On: 192.168.7.1
[15-Nov-25 14:13:17] HTTP Client 192.168.7.1, Message Receive failed, WSAError 0
[15-Nov-25 14:14:18] HTTP Client 192.168.7.1, Message Receive failed
[15-Nov-25 14:15:18] HTTP Client 192.168.7.1, Message Receive failed
[15-Nov-25 14:16:18] HTTP Client 192.168.7.1, Message Receive failed
[15-Nov-25 14:17:18] HTTP Client 192.168.7.1, Message Receive failed
[15-Nov-25 14:18:18] HTTP Client 192.168.7.1, Message Receive failed
[15-Nov-25 14:19:18] HTTP Client 192.168.7.1, Message Receive failed
[15-Nov-25 14:20:18] HTTP Client 192.168.7.1, Message Receive failed
[15-Nov-25 14:21:18] HTTP Client 192.168.7.1, Message Receive failed
[15-Nov-25 14:22:18] HTTP Client 192.168.7.1, Message Receive failed
[15-Nov-25 14:23:19] HTTP Client 192.168.7.1, Message Receive failed
[15-Nov-25 14:24:19] HTTP Client 192.168.7.1, Message Receive failed
[15-Nov-25 14:25:19] HTTP Client 192.168.7.1, Message Receive failed
[15-Nov-25 14:26:19] HTTP Client 192.168.7.1, Message Receive failed
[15-Nov-25 14:27:19] HTTP Client 192.168.7.1, Message Receive failed
[15-Nov-25 14:28:19] HTTP Client 192.168.7.1, Message Receive failed
[15-Nov-25 14:29:19] HTTP Client 192.168.7.1, Message Receive failed
[15-Nov-25 14:30:19] HTTP Client 192.168.7.1, Message Receive failed
[15-Nov-25 14:31:19] HTTP Client 192.168.7.1, Message Receive failed
[15-Nov-25 14:32:19] HTTP Client 192.168.7.1, Message Receive failed
[15-Nov-25 14:33:19] HTTP Client 192.168.7.1, Message Receive failed
[15-Nov-25 14:34:19] HTTP Client 192.168.7.1, Message Receive failed
[15-Nov-25 14:35:19] HTTP Client 192.168.7.1, Message Receive failed
[15-Nov-25 14:36:19] HTTP Client 192.168.7.1, Message Receive failed
[15-Nov-25 14:37:19] HTTP Client 192.168.7.1, Message Receive failed
[15-Nov-25 14:38:19] HTTP Client 192.168.7.1, Message Receive failed
[15-Nov-25 14:39:19] HTTP Client 192.168.7.1, Message Receive failed
[15-Nov-25 14:40:19] HTTP Client 192.168.7.1, Message Receive failed
[15-Nov-25 14:41:19] HTTP Client 192.168.7.1, Message Receive failed
[15-Nov-25 14:42:19] HTTP Client 192.168.7.1, Message Receive failed
[15-Nov-25 14:43:19] HTTP Client 192.168.7.1, Message Receive failed
[15-Nov-25 14:44:19] HTTP Client 192.168.7.1, Message Receive failed
[15-Nov-25 14:45:19] HTTP Client 192.168.7.1, Message Receive failed
[15-Nov-25 14:46:19] HTTP Client 192.168.7.1, Message Receive failed
[15-Nov-25 14:47:19] HTTP Client 192.168.7.1, Message Receive failed
[15-Nov-25 14:49:19] HTTP Client 192.168.7.1, Message Receive failed
[15-Nov-25 14:50:20] HTTP Client 192.168.7.1, Message Receive failed
