Open DHCP Server Version 1.84 Linux Build 1058

[18-Nov-25 00:44:08] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 00:45:08] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 00:46:08] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 00:49:08] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 00:50:08] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 00:54:08] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 00:55:08] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 00:56:08] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 00:57:08] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 00:59:08] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 01:00:08] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 01:01:09] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 01:02:09] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 01:08:09] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 01:09:09] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 01:10:09] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 01:11:09] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 01:15:09] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 01:16:09] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 01:17:09] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 01:20:09] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 01:21:09] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 01:23:09] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 01:25:09] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 01:26:10] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 01:28:10] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 01:29:10] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 01:32:10] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 01:33:10] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 01:36:10] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 01:37:10] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 01:38:10] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 01:39:10] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 01:41:10] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 01:42:10] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 01:43:10] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 01:44:10] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 01:48:10] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 01:49:10] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 01:51:10] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 01:54:10] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 01:57:11] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 01:58:11] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 02:01:11] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 02:02:11] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 02:04:11] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 02:06:11] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 02:07:11] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 02:09:11] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 02:12:11] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 02:14:11] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 02:16:11] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 02:17:11] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 02:18:11] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 02:20:11] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 02:21:11] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 02:22:11] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 02:23:11] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 02:24:11] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 02:26:12] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 02:27:12] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 02:28:12] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 02:29:12] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 02:31:12] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 02:33:12] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 02:36:12] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 02:37:12] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 02:38:12] HTTP Client 192.168.7.1, Message Receive failed
[18-Nov-25 02:38:20] Network changed, re-detecting Listening Interfaces..
[18-Nov-25 16:54:33] Warning: Section [HTTP_INTERFACE], HTTPServer=192.168.7.1:6789 not available, ignored
[18-Nov-25 16:54:33] No Static Interface ready, Waiting...
[18-Nov-25 16:54:53] Network changed, re-detecting Listening Interfaces..
[18-Nov-25 16:54:53] Http Interface 192.168.7.1 TCP Port 6789 not available
[18-Nov-25 16:54:53] Server Name: tando-Latitude-5480
[18-Nov-25 16:54:53] Listening On: 192.168.7.1
[18-Nov-25 16:55:33] Retrying failed Listening Interfaces..
[18-Nov-25 16:55:35] Server Name: tando-Latitude-5480
[18-Nov-25 16:55:35] Lease Status URL: http://192.168.7.1:6789
[18-Nov-25 16:55:35] Listening On: 192.168.7.1
